T1,T2,T3
-1.578458,-42.442854,63.071280
-43.976456,17.344993,-20.326908
-53.029626,-35.872242,-20.485335
33.655027,-2.486939,-50.742233
-43.398708,95.605513,-27.048906
-63.774689,78.968678,-33.995137
-77.468182,26.685579,-39.271560
23.505852,-87.386823,-41.935099
18.123971,-37.668117,67.443840
31.724697,-82.108865,34.379728
10.220451,-29.831222,65.110561
10.058989,59.341580,-32.207128
32.654091,-81.534400,34.551627
-57.896738,-7.536277,-16.471239
-58.995102,5.876998,78.547207
-24.572974,58.607499,-37.416081
49.958844,-75.176572,-53.878939
35.979554,59.225699,-24.458187
-72.980953,-23.998667,8.769391
-74.184612,0.079246,-18.939257
-32.792805,5.158651,-8.199146
-75.078607,-23.917774,-1.891128
-81.010487,16.481505,-15.750786
-50.680588,4.048173,77.561650
-30.191612,105.172332,-31.210656
25.015952,0.402302,-68.627180
82.046653,21.071454,7.829482
53.500870,-75.956218,-6.033959
38.450469,-86.702738,-9.827851
34.420027,-76.246595,-35.598623
17.412343,41.892445,-24.303557
42.614819,-63.790527,-36.294022
-46.720311,-35.053639,-5.895829
46.711077,-47.951087,13.242168
-25.483276,24.680942,59.469819
51.296710,-2.327235,51.188261
23.612209,-40.204542,81.642345
13.283982,-28.764291,81.264132
48.430204,90.984050,-20.470887
12.396780,20.602760,-45.315358
-3.880129,-44.060980,55.502039
-24.670806,-29.315436,-66.803478
-41.321099,21.416370,-28.087427
49.739602,-41.491184,68.134110
-37.705947,2.775326,65.224942
42.701941,-73.725149,-48.983723
79.944131,14.190718,26.694450
-53.788385,10.795507,61.068752
25.335186,34.221106,-22.528942
47.510765,-13.629602,64.167280
55.750409,11.401133,38.028392
-6.894480,63.857155,-44.166662
17.105649,-39.265903,70.205797
-37.296227,70.164755,-36.793659
50.091874,63.216243,-10.759424
-59.439767,8.672366,77.591592
-54.791925,-35.117707,-18.386987
-43.737077,7.146559,66.551113
50.800875,63.978339,-15.216470
32.656405,4.018912,-53.868864
59.591710,78.223305,-14.044877
13.295987,-74.256638,-11.750896
-45.690251,6.573713,70.054597
27.490731,1.782404,-66.768224
48.508740,-73.894315,-54.010280
-35.024893,75.313336,-32.964700
-61.031063,-12.201580,-40.239735
-14.527378,-24.446692,-39.199282
-33.120379,-16.078317,-2.126981
-50.596291,7.336406,61.577444
30.879632,44.779652,-58.194866
-76.668444,-15.594531,-10.562084
36.059918,-60.108563,-31.555539
54.267308,83.035333,-23.465561
12.364264,-27.474897,81.392144
30.753750,-42.113538,72.662441
19.988390,-47.472590,64.585312
56.297683,84.713428,-15.470963
50.646488,-1.448502,37.221250
14.248270,-17.877733,62.312017
-35.815766,31.313871,50.449249
-57.420778,0.982572,73.224115
6.620232,55.786276,31.108894
39.974356,-13.966035,50.020652
-72.537845,-3.443075,-30.447824
-68.139737,-5.744724,-0.699793
-25.587110,-35.535171,-3.111357
4.852631,3.931370,-39.924083
48.020389,-24.347894,71.957492
-42.845994,97.760590,-23.643286
-20.797159,15.375671,48.623629
-30.501049,92.746394,-25.160903
80.600407,-35.655271,51.269055
47.160387,-82.646402,23.416874
-43.794109,-32.203439,-27.956682
36.526035,55.634883,9.901375
17.894137,-45.396732,69.284064
38.836132,-44.816375,70.418553
-2.021844,46.009520,45.512601
-70.592154,26.514382,-42.961433
37.894963,-25.298144,46.218085
67.433310,-44.642319,-2.915575
35.285629,-49.070384,61.985519
52.293448,7.936092,34.248485
42.642717,-47.170697,25.933804
-52.713401,42.162038,75.491893
36.958944,46.255897,-33.693141
5.310650,-79.168050,-27.340483
-54.410246,-15.869833,-5.524371
26.990620,-86.212239,8.378624
46.374742,60.289303,-36.197306
-16.454249,-13.328031,-89.488137
-57.119533,-32.454310,16.311192
22.349987,21.662819,-37.640364
-62.791712,55.529776,-46.436672
-21.018288,1.146781,48.701520
49.353088,-71.520532,42.030823
-72.755513,0.252299,-19.544837
41.038933,-30.719939,49.904762
-3.491348,52.206982,41.673141
0.807948,42.429528,47.001089
30.751158,41.409480,-46.403099
-34.561154,32.309700,69.744822
20.465381,53.061546,23.290067
36.387805,-9.111721,-73.591894
-34.757280,8.075335,-69.316098
-46.924312,35.245872,72.253074
20.586230,-85.486422,-29.040858
67.336885,-22.691567,-1.935822
54.891413,79.793261,-14.264704
-33.502094,-37.432169,-0.888600
-67.283284,72.972750,-31.660946
13.253926,19.568133,-40.021356
48.156330,7.923739,-78.013109
13.974717,-38.734814,69.772353
-62.705381,70.970297,-31.388199
55.498926,53.162405,-1.988604
45.749803,5.142133,-66.632020
-65.854010,21.531578,-21.737996
-24.435615,25.098294,57.343881
-31.293618,-37.404004,-29.131170
45.336564,-36.708168,83.143109
69.077392,-41.599787,-3.752939
46.115131,-82.938733,23.956023
34.276064,-82.433510,17.899653
-30.664891,-36.984729,22.308845
-24.237041,16.112442,54.021173
-24.354138,57.087573,-40.891807
-28.587646,33.281168,71.602204
64.321805,-79.217572,-5.194538
58.487306,-3.825292,32.081373
-1.349197,32.233051,-22.793424
34.098540,59.602071,-24.660488
10.392133,60.231754,-33.318457
52.954956,80.366495,-22.762254
-50.320789,-46.570190,15.290839
-80.526538,-8.984456,-9.179277
-34.931320,-30.748638,18.942756
-36.097195,37.828437,50.894341
-16.982008,-8.274133,-94.905998
-41.783039,51.464416,-38.650205
38.125105,-14.153292,50.318705
-24.611286,27.818600,-57.026886
-5.028054,-2.146596,-21.961453
-73.101943,-4.247378,-33.220031
35.806191,-69.227232,34.341719
33.394166,-33.676613,53.803354
-56.178140,-7.408969,63.896605
36.912632,-84.457597,13.439777
65.467733,2.152067,47.300121
-87.753955,19.495871,-21.511108
-48.028690,95.663507,-25.610506
34.987383,46.953870,-31.587109
62.389442,76.199182,-14.868408
-38.001290,99.888766,-18.975600
-49.204524,-46.115371,19.122871
17.335582,-73.147708,-13.409403
78.503493,31.267011,1.465654
-40.353648,-38.252035,4.991615
-38.445016,63.186255,72.773657
-24.615969,-27.865831,-63.051836
-14.568044,35.792273,60.136842
-12.388918,35.258974,60.574885
