Cluster ID	Time	Cell Stage	Parent cluster	MU PC 1	MU PC 2	MU PC 3	MU PC 4	MU PC 5	MU PC 6	MU PC 7	MU PC 8	MU PC 9	MU PC 10	MU PC 11	MU PC 12	MU PC 13	MU PC 14	MU PC 15	MU PC 16	MU PC 17	MU PC 18
1	1	1	0	-1.243240e+03	-3.618797e+02	2.927928e+01	-1.042213e+02	1.856702e+01	-9.110921e+01	-5.241977e+00	-3.479704e+01	1.673357e+01	-2.632332e+01	1.943954e+01	1.440362e+01	-4.904369e+00	-1.533003e+00	-9.354029e+00	-1.806529e+00	-1.917986e+00	2.095168e+00
2	2	2	1	-1.099944e+03	-3.212130e+02	3.587278e+01	1.333152e+02	1.416053e+01	5.524831e+01	-3.598469e+01	-5.050552e+00	-6.003664e+01	-1.017522e+01	-7.846792e+00	-5.754335e+00	-3.932307e+00	-2.038003e+00	-1.634897e-01	5.029467e-01	-4.708275e-01	-2.524157e-01
3	3	3	2	-1.150992e+03	-2.892309e+02	6.308726e+01	-5.822593e+01	7.433622e+00	-1.638958e+01	-5.267798e+01	-1.638898e+01	-2.767915e+01	-1.215964e+00	-1.245076e+01	-1.187152e+01	1.397663e+00	-4.512611e+00	-3.290236e-01	1.749397e+00	-8.560872e-01	1.262145e-01
4	4	4	3	-1.126412e+03	-2.735928e+02	5.041882e+01	-2.283495e+02	-2.160012e+01	2.684549e+01	-2.988806e+01	3.325346e+00	4.093189e+00	9.461922e+00	-3.930609e+00	-6.491793e+00	-1.782853e+00	-1.538354e+00	2.549608e-01	-1.802091e+00	-5.186160e-01	-1.065052e+00
5	5	5	4	-1.203986e+03	3.214203e+01	9.944046e+01	-1.319061e+02	-1.758907e+02	-1.859896e+01	-3.253963e+01	1.127747e+01	4.453877e+00	-1.688639e+00	-9.703191e+00	-1.290332e+00	-1.965293e+00	-2.917924e+00	-4.322091e-01	4.159762e-01	-2.088160e-01	-7.625900e-01
6	6	6	5	-1.127078e+03	6.940132e+02	-7.152087e+01	3.510587e+00	-5.881094e+02	-3.953004e+01	2.161853e+00	6.791036e+00	1.536326e+01	2.243194e+00	-6.391723e-02	2.841324e+00	-5.513893e+00	4.097308e+00	-7.538817e-01	-1.691765e+00	-2.839774e-02	-2.918935e-01
7	6	6	5	-9.418198e+02	1.310804e+02	4.112703e+02	-9.705239e+01	-1.123957e+02	5.365293e+00	1.241963e+01	-5.826600e+00	6.086991e+00	3.423710e-01	-3.899830e+00	3.772560e+00	-3.831047e+00	1.681350e-01	-8.782086e-01	3.212620e+00	3.631583e-02	-2.486379e-01
8	7	7	6	-1.034981e+03	1.682624e+03	-2.759528e+02	2.312707e+02	-1.164390e+03	-9.761073e+01	3.774236e+01	9.188448e+00	2.862144e+01	2.525951e+01	2.656187e+01	5.455538e+00	3.026563e+00	9.864366e+00	2.034472e-01	-4.737823e+00	-3.903459e-02	8.153400e-01
9	7	7	7	-1.436553e+02	4.736849e+02	5.534473e+01	-1.272040e+01	-4.027074e+02	3.436565e+01	6.198705e+01	-4.171047e+01	4.446498e+00	-8.040909e+00	-1.036964e+01	1.170771e+01	-1.135129e+01	5.327124e+00	-8.074248e-01	-7.015783e-01	-1.770001e-01	6.872128e-02
10	7	7	7	-7.435297e+02	9.305789e+01	1.128179e+02	-1.257251e+02	1.604949e+01	2.737745e+00	-1.683080e+01	9.069025e+00	3.531804e+00	-1.077568e+00	-9.459583e+00	2.699316e+00	-2.922333e+00	-2.105342e+00	8.837252e-01	1.166729e+00	-1.669501e-01	-2.222862e-01
11	8	8	10	-1.013198e+03	1.116441e+03	-3.249719e+02	2.688585e+01	-7.817850e+01	-4.523848e+01	-1.920138e+01	2.315694e+01	9.692526e+00	3.285296e+00	6.823707e+00	-4.145709e+00	-2.626811e-01	-2.745365e+00	-9.768928e-02	-6.200223e-01	-2.705406e-01	3.717970e-02
12	8	8	9	6.046931e+01	4.737269e+02	1.521450e+02	-2.701956e+01	1.689597e+02	3.381473e+01	2.362507e+01	-1.225849e+01	-1.846264e+00	-5.639881e+00	1.172168e-01	1.504839e+00	2.690647e-01	1.077676e+00	-3.159055e-01	-1.626598e-01	1.606167e-01	4.551053e-02
13	8	8	9	1.013146e+03	6.355599e+01	-5.035614e+01	2.248260e+01	-3.425039e+01	-5.578481e+00	2.308355e+00	2.253335e+00	3.390489e-01	-4.518702e-01	-1.731188e-02	-1.362295e+00	-7.782252e-02	6.221331e-01	-1.892137e-01	-1.843527e-01	1.340878e-01	-1.287109e-01
14	8	8	10	-2.373872e+02	-1.677659e+02	2.008916e+01	-5.444398e+00	-6.846998e+00	6.917559e-01	-2.317313e+00	-8.691186e-01	-5.893592e-01	6.256653e-01	-5.651199e-01	5.502653e-01	-1.345488e-02	-1.161571e-01	1.070987e-01	1.258845e-01	-4.169587e-02	2.968380e-02
