Stage	Stage_5	Stage_6	Stage_7
CD10	0.000000	0.000000	0.000000
CD117	0.000001	0.000000	0.000000
CD179a	-0.000000	0.000000	0.000000
CD179b	-0.000001	0.000000	0.000000
CD19	-0.000008	0.000000	0.000000
CD20	-0.000003	0.000000	0.000000
CD24	0.000042	0.000000	0.000000
CD34	0.000001	0.000000	0.000000
CD38	0.000011	0.000000	0.000000
CD45	0.000012	0.000000	0.000000
CD72	-0.000007	0.000000	0.000000
CD79b	0.000033	0.000000	0.000000
HLADR	-0.000200	0.000000	0.000000
IgD	-0.000022	0.000000	0.000000
IgM-i	-0.000370	0.000000	0.000000
IgM-s	0.002144	0.000000	0.000000
Kappa	0.000331	0.000000	0.000000
Lambda	-0.000030	0.000000	0.000000
