Cluster ID	Time	Cell Stage	Parent cluster	MU PC 1	MU PC 2	MU PC 3	MU PC 4	MU PC 5	MU PC 6	MU PC 7	MU PC 8	MU PC 9	MU PC 10	MU PC 11	MU PC 12	MU PC 13	MU PC 14	MU PC 15	MU PC 16	MU PC 17	MU PC 18	MU PC 19	MU PC 20	MU PC 21	MU PC 22	MU PC 23	MU PC 24	MU PC 25	MU PC 26	MU PC 27	MU PC 28	MU PC 29
1	1	0	0	2.575000e+01	-1.314543e+01	-2.406425e+00	-1.487468e+01	-4.760095e+00	4.184014e+00	2.624670e+00	-1.094743e+00	-7.664287e+00	-3.265394e+00	-7.244426e+00	-6.688787e+00	2.368743e+00	1.573594e+01	1.457439e+00	9.785202e-01	7.972187e+00	2.873529e+00	4.506283e+00	-7.179021e+00	6.204779e+00	8.416948e+00	3.716317e+00	4.183304e+00	6.578557e+00	-9.480081e-01	3.845774e+00	5.358629e+00	1.394612e+00
2	2	1	1	3.268142e+01	-1.003739e+01	-7.418402e-01	-2.298887e+01	-6.385641e+00	-2.950059e+00	7.262307e+00	-1.060038e+00	-1.305532e+01	-2.255444e+00	-1.477288e+00	4.674725e+00	9.156263e+00	2.119146e+01	-2.017641e+00	1.892269e+00	2.115426e+01	7.139404e-01	1.161549e+01	-1.046464e+01	-3.297493e+00	6.613420e+00	3.155293e+00	8.597922e+00	3.644822e+00	-4.993095e+00	8.951821e+00	8.706197e+00	9.001003e+00
3	3	1.700000e+00	2	3.540721e+01	-1.259222e+01	7.487210e-01	-2.515553e+01	-7.050995e+00	-5.369102e+00	7.170649e+00	2.782526e-01	-1.490442e+01	-2.401718e+00	7.363845e-02	8.643497e+00	1.282016e+01	2.458090e+01	-4.008524e+00	3.025383e+00	2.439624e+01	1.253526e+00	1.113131e+01	-1.283707e+01	-6.978181e+00	6.727075e+00	4.081695e+00	1.054358e+01	3.692355e+00	-6.097738e+00	1.333319e+01	9.280479e+00	1.154427e+01
4	4	2	3	3.153242e+01	-2.354527e+00	6.997399e+00	-2.789376e+01	-8.662750e+00	-2.489573e+00	5.056089e+00	5.879032e-01	-1.496933e+01	6.277226e-01	2.447799e+00	9.844908e+00	1.092496e+01	2.020193e+01	-1.336076e+00	2.954112e+00	2.176820e+01	-3.346204e+00	8.431683e+00	-1.249020e+01	-7.620108e+00	6.948467e+00	4.149577e+00	5.437323e+00	4.451717e+00	-7.146085e+00	1.183026e+01	4.112797e+00	1.314634e+01
5	5	2.500000e+00	4	2.990693e+01	5.225911e+00	1.075886e+01	-3.196793e+01	-1.012201e+01	1.268513e+00	4.330065e+00	-1.483319e-02	-1.638002e+01	2.027740e+00	1.945180e+00	1.273474e+01	8.464068e+00	1.457651e+01	-8.326946e-01	3.156385e+00	2.049071e+01	-6.359608e+00	5.573446e+00	-9.399748e+00	-6.559383e+00	5.350947e+00	4.328572e+00	7.699689e-01	5.334220e+00	-5.837269e+00	9.993371e+00	-1.127886e+00	1.037589e+01
6	6	4	5	3.005275e+01	6.082350e+00	8.252973e+00	-2.954348e+01	-1.447479e+01	1.269657e+00	1.728307e+00	-2.476500e+00	-1.515679e+01	1.177750e-02	3.805400e-01	1.009585e+01	3.904120e+00	1.137262e+01	-4.709394e-01	6.846701e+00	1.736757e+01	-4.806931e+00	3.626329e+00	-6.723174e+00	-3.631464e+00	6.074644e+00	3.032101e+00	-2.723393e+00	3.517948e+00	-5.857279e+00	8.306337e+00	-5.060248e+00	5.855602e+00
7	7	8	6	2.114695e+01	6.874514e+00	4.437798e+00	-2.775497e+01	-1.340568e+01	-5.600172e-01	1.493014e+00	-3.880040e+00	-1.164268e+01	-4.713461e-01	1.925688e+00	4.674515e+00	-6.638541e-01	7.580644e+00	5.512501e-01	6.228217e+00	1.098011e+01	-5.298447e+00	6.824086e-01	-4.724760e+00	-5.348632e-01	6.257562e+00	2.272847e+00	-3.676483e+00	1.421080e+00	-4.105539e+00	5.092863e+00	-3.892623e+00	1.193847e+00
8	8	16	7	2.214002e+01	5.576965e+00	1.339157e+00	-2.447482e+01	-1.339676e+01	5.615044e-01	2.033902e-01	-5.183157e+00	-1.069590e+01	-9.704718e-01	1.497357e+00	3.659879e+00	-2.794448e+00	5.863452e+00	1.404099e+00	6.949745e+00	9.846441e+00	-5.126225e+00	1.076117e+00	-2.339357e+00	1.890715e+00	5.770027e+00	8.419204e-01	-4.195611e+00	2.095363e+00	-4.562296e+00	4.768137e+00	-3.356412e+00	1.906063e-01
9	9	32	8	1.767887e+01	2.006496e+01	-9.290566e-01	-1.168769e+01	-6.322270e+00	-3.247164e+00	3.197079e-01	-1.397264e-01	-2.868787e+00	-2.612727e+00	-1.797540e+00	-8.188905e-01	-4.463119e+00	4.193376e+00	9.908001e-02	3.463230e+00	3.869379e+00	-2.589911e+00	-1.244714e-01	-3.118688e+00	2.375339e+00	1.830105e+00	-2.924862e-01	-9.905514e-01	9.640478e-01	-2.788304e+00	2.676430e+00	-9.252599e-01	-1.608047e+00
10	9	32	8	2.136707e-01	-6.900087e-01	-3.489911e+00	-8.769284e+00	-4.121324e+00	-3.685299e+00	-1.794465e+00	-9.010628e-01	-3.615284e+00	5.482927e-01	4.349566e-01	2.745629e+00	-1.690733e+00	1.051276e+00	-1.337209e-01	2.280691e+00	4.106695e+00	-2.609026e-01	-2.787697e-01	-1.457518e+00	4.985284e-01	2.960225e+00	-8.551315e-01	-1.491231e+00	-1.155306e+00	-2.117991e+00	2.680709e+00	-1.270288e+00	1.179449e-01
11	10	48	9	2.135764e+01	1.774492e+01	-4.491030e-01	-1.420132e+01	-3.525622e+00	-1.551683e+00	6.719594e-01	-3.002346e+00	-3.680464e+00	-3.339453e+00	-1.707126e+00	9.604615e-01	3.501016e-01	3.995084e+00	-2.051678e+00	4.614260e+00	2.204556e+00	8.124585e-01	-2.527857e-01	-1.600307e+00	3.470214e-01	6.992067e-01	1.088795e+00	-1.827796e+00	2.467095e-01	-1.504351e+00	2.027933e+00	-3.021152e-01	-1.644966e+00
12	10	48	10	-4.258518e+00	-2.523651e+00	7.627712e-01	-7.956766e+00	-1.932863e+00	-2.131141e+00	-1.650364e+00	5.380413e-02	-3.591312e+00	9.659967e-01	8.286113e-02	3.955492e+00	1.222699e+00	2.143362e+00	-2.055172e+00	1.375822e+00	3.859813e+00	3.820395e-01	-6.547205e-01	-1.486245e-01	-6.934875e-01	1.958899e+00	4.130553e-01	-2.131216e+00	-1.124661e+00	1.649773e+00	4.946563e-01	1.265105e-01	8.766780e-03
13	11	64	11	3.051551e+01	9.652209e+00	1.314222e-01	-4.849180e+00	-2.635550e+00	-6.115743e-01	-1.539103e+00	-3.309010e+00	-5.094120e+00	-1.839206e+00	-2.430450e+00	1.409506e+00	-4.387262e-01	2.379022e-01	5.657770e-01	2.460690e+00	-3.349184e-01	1.390124e+00	-9.841868e-01	7.806253e-01	-4.578567e-01	5.122105e-01	-3.197141e-01	6.820367e-02	-3.515423e-02	-3.686202e-02	-1.100407e-01	1.570996e-01	-3.349246e-01
14	11	64	12	-1.247899e+01	-1.912639e+01	-2.919678e+00	-5.999808e+00	-2.066603e+00	-2.703251e-01	2.170857e-01	-1.222286e+00	-1.525178e+00	-1.226255e+00	-5.731921e-01	-2.174971e+00	-1.164054e-01	2.132359e+00	-1.036937e+00	2.335223e+00	7.199942e-01	4.007426e-01	-8.396281e-01	-1.088882e+00	7.208588e-01	5.050388e-01	-1.494301e-01	3.637363e-01	-3.716402e-01	2.149526e-01	6.226682e-02	-2.825326e-01	9.002014e-02
15	11	64	12	-7.099571e+00	8.449591e+00	1.948123e+00	4.578445e+00	2.290606e+00	1.187921e-01	5.008796e-01	2.386680e+00	3.009443e+00	1.704582e+00	1.575608e+00	1.289674e+00	4.979576e-01	-9.963334e-01	-2.125811e-02	-2.378123e+00	3.602392e-01	-9.034585e-01	9.805032e-01	1.830840e-01	-3.057125e-01	-3.020712e-01	3.977947e-01	-6.848815e-01	1.330016e-01	-3.962304e-03	2.183269e-01	1.012957e-01	1.011755e-02
