Stage	Stage_16
Ss18	0.001065
Cuedc2	-0.002851
Tpx2	-0.001294
Spp1	-0.003126
Apoa1	-0.000219
Fth1	0.000171
Fabp3	0.002226
Omt2a	0.000002
Uspl1	-0.001543
Actb	0.000972
BB287469	-0.000460
Ubb	-0.000256
Omt2b	-0.000090
Gc	-0.000402
Ptma	-0.000143
Rpl11	-0.000269
Gabarapl2	-0.000147
Zbed3	-0.000016
Tcl1	-0.005327
Apoe	-0.002419
Kng1	0.000541
Mapk8ip3	0.000382
Srp54b	-0.000441
Sparc	-0.003147
Apoc1	-0.000702
Oog1	-0.000087
Oog1	-0.000083
Tmsb4x	0.003246
H2afz	-0.000486
Gm1821	-0.000252
Alppl2	0.002457
Oas1d	-0.000937
Dppa3	-0.000674
Gm11517	-0.000329
Khdc1b	0.000475
Acp5	-0.000563
Ppia	-0.000153
Spin1	-0.001442
Ldhb	0.000168
Lgals1	0.003467
Actg1	0.000487
Ftl1	-0.000150
Mphosph6	0.000675
Serpinc1	0.000126
Hsp90aa1	-0.000127
S100a6	0.000697
Ifitm3	-0.004272
2210409E12Rik	0.000339
Dppa5a	-0.000393
Hspa8	-0.000179
Rpl12	-0.000496
Uba52	-0.000165
Cst3	-0.000486
Adh1	0.003712
Timm8a1	0.000601
Eef1a1	-0.000180
Gm5662	-0.001569
Mt1	0.002303
Ass1	0.001735
Prg4	-0.000524
Hrsp12	-0.001895
Slc25a5	-0.000163
AU022751	-0.000756
Rpl7	-0.000373
Rplp2	-0.000510
Rps14	-0.000486
Rps18	-0.000295
Zfp57	-0.003516
Fbxo15	-0.000024
Rps4x	-0.000336
Rps28	-0.000431
Gm5424	0.001796
Impdh2	-0.000851
B2m	0.002474
Tspan8	0.004238
Sat1	-0.001076
Pttg1	-0.001008
3230401D17Rik	-0.001702
Krt18	0.003821
Eif4e1b	-0.000783
Pkd2l2	-0.000376
Tmsb10	0.001770
Pemt	-0.001171
Npm1	-0.000548
Bhmt	-0.003801
Timd2	0.001298
Rpl32	-0.000352
Cdk2ap1	0.000414
Itm2b	-0.000605
Pramel4	-0.000334
Gm10436	-0.000103
Dbi	-0.000568
Rplp1	-0.000387
Fbp1	-0.002726
Nme2	-0.000322
Tceb1	-0.000077
Malat1	-0.000213
Rps25	-0.000383
S100a11	0.003510
Id2	0.003840
Cyb5	-0.001322
Rps11	-0.000344
Cd63	0.000310
Cdkn2d	-0.000959
Upp1	-0.004892
Krt8	0.003296
Cks2	-0.000525
Akr1b8	0.001997
Hsp90ab1	-0.000174
Trim43a	0.000531
Rps20	-0.000406
Rcn3	-0.000503
Kng2	0.000122
Isyna1	0.000773
Fabp5	-0.002380
Pzp	-0.000641
Gm13023	-0.000062
Gm11544	0.000022
Crxos1	0.000410
Pcgf1	-0.001754
Cdkn2d	-0.001034
Nhp2l1	-0.000689
Ube2s	-0.001383
Lars2	-0.000014
Rpl38	-0.000580
Aldoa	0.000338
Ctsl	-0.001336
Apom	-0.001029
Rps9	-0.000354
Obox6	0.000000
Timm23	-0.000122
Trim43b	0.000647
Cyr61	-0.000221
Set	-0.000477
Erh	-0.000306
Sod1	-0.001077
Cstb	0.001065
Rps5	-0.000443
5730469M10Rik	0.002673
Mfap5	0.000795
Rpl8	-0.000225
Rgn	0.002923
Npm2	0.000570
Hnrnpf	-0.000301
Serpine2	-0.000715
Rpl4	-0.000355
1110008P14Rik	0.002572
Bmp15	0.000212
Rpl22l1	-0.000793
Hprt	0.000840
Uqcrb	-0.000389
Gpx1	-0.000704
Rpl13a	-0.000405
Myl12b	0.001519
Gsta1	0.002544
Psap	0.001761
Mad2l1bp	0.001246
Prdx1	-0.000989
Eif5a	0.000188
Tomm5	-0.000187
