Cluster ID	Time	Cell Stage	Parent cluster	MU PC 1	MU PC 2	MU PC 3	MU PC 4	MU PC 5	MU PC 6	MU PC 7	MU PC 8	MU PC 9	MU PC 10	MU PC 11	MU PC 12	MU PC 13	MU PC 14	MU PC 15	MU PC 16	MU PC 17	MU PC 18	MU PC 19	MU PC 20	MU PC 21	MU PC 22	MU PC 23	MU PC 24	MU PC 25	MU PC 26	MU PC 27	MU PC 28	MU PC 29	MU PC 30	MU PC 31	MU PC 32	MU PC 33	MU PC 34	MU PC 35	MU PC 36	MU PC 37	MU PC 38	MU PC 39	MU PC 40	MU PC 41	MU PC 42	MU PC 43	MU PC 44	MU PC 45	MU PC 46	MU PC 47	MU PC 48
1	1	1	0	6.009621e+00	-7.296667e-01	-9.357145e+00	-8.620444e-01	-8.203758e+00	2.629730e+00	2.328431e+00	6.908778e+00	-5.141045e+00	5.212678e+00	-2.784021e+00	-5.453855e+00	7.834675e+00	3.975242e+00	3.006534e+00	-4.008486e+00	-1.204884e+01	-8.887585e-01	-8.150604e-01	-5.868082e-01	-2.847079e+00	-3.214694e+00	5.898865e+00	-7.963704e-01	3.940368e+00	1.719015e+00	-1.454349e+00	-2.230306e+00	4.982269e-01	-2.577112e+00	-3.279369e+00	-1.706706e+00	3.996950e-01	-1.832755e+00	5.980022e+00	3.274493e+00	-3.386244e+00	-6.096028e+00	2.379403e+00	5.655479e+00	-8.866528e+00	-5.426663e+00	-4.200100e+00	-1.392414e+00	4.032620e-01	5.040445e+00	4.352682e+00	-4.807518e-01
2	2	2	1	1.188992e+01	-5.751202e+00	-3.367967e+00	-2.807244e+00	-4.567268e+00	3.824347e+00	-1.038254e-01	3.573686e+00	-9.430299e+00	4.442132e+00	-1.711898e+00	-9.017973e-01	6.248983e+00	3.262768e+00	2.406465e+00	-9.790145e-01	-4.642530e+00	2.149421e-01	1.307148e+00	-2.390545e+00	-3.047877e+00	1.477282e+00	1.818088e-01	-3.918433e-01	3.200422e+00	2.058625e+00	-3.647067e+00	-1.948008e+00	-2.912569e+00	-3.426816e+00	-8.440558e-01	3.791189e+00	-3.944589e-02	3.052519e-01	1.298491e+00	-7.404653e-01	-3.211125e+00	-8.793419e+00	-6.924780e-02	6.412582e+00	-4.857109e+00	1.433825e+00	-3.024879e+00	-2.145224e+00	5.755076e-01	7.668475e-02	2.105042e+00	-2.210763e+00
3	3	3	2	1.388938e+01	-5.643574e+00	-1.947023e+00	-5.637392e+00	-3.967150e+00	4.321140e+00	-2.158037e+00	-7.401843e-01	-8.780106e+00	4.930828e+00	2.289634e+00	2.070623e+00	1.150398e+00	4.468435e+00	1.981952e+00	8.807726e-01	1.359168e-02	2.619897e+00	2.834279e-01	-3.114537e+00	-2.743680e+00	1.869606e+00	-2.420720e+00	-3.389200e+00	9.981358e-01	3.053304e-01	-3.436517e+00	-4.533189e+00	-4.712932e+00	-3.636446e+00	1.515314e+00	2.958591e+00	1.316428e+00	-8.328565e-01	2.003655e+00	-1.013208e+00	-2.461711e+00	-4.257414e+00	-1.861100e+00	3.599725e+00	-1.122898e+00	1.711524e+00	-1.083312e+00	-2.734063e+00	1.665782e+00	6.884999e-01	2.364161e+00	-3.680783e+00
4	4	4	3	1.250631e+01	-3.746084e+00	-3.784495e+00	-3.738262e+00	-4.100036e+00	3.394824e+00	-3.501232e+00	-1.717399e+00	-6.509448e+00	3.644071e+00	2.947206e+00	2.088695e+00	-1.345332e+00	5.390719e+00	1.060295e+00	7.994523e-01	7.030145e-01	3.102764e+00	-9.659095e-01	-2.218052e+00	-3.181295e+00	3.260795e-01	-1.548688e+00	-4.435483e+00	-2.151998e-02	7.450690e-01	-1.636899e+00	-4.792224e+00	-4.138550e+00	-3.378324e+00	1.547960e+00	2.162172e+00	2.083911e+00	-1.909643e+00	2.261628e-02	-6.732253e-01	-1.645691e+00	-1.424791e+00	-2.731558e+00	-6.617557e-01	9.352189e-01	2.946839e+00	-9.920309e-01	-2.071427e+00	1.653689e+00	4.955102e-01	2.060359e+00	-2.201299e+00
5	5	5	4	6.935188e+00	-3.224715e+00	-7.352475e+00	-4.747056e-01	-2.348347e+00	-1.108834e+00	-2.946575e+00	-3.670663e+00	-4.027333e+00	2.025164e+00	1.931695e+00	5.594117e-01	-4.853581e+00	4.295259e+00	4.840315e-01	-1.538551e+00	3.003428e-01	2.127229e+00	3.316354e-01	-1.561240e+00	-2.917087e+00	-2.558853e+00	-1.663429e+00	-4.104349e+00	6.512956e-01	7.779591e-01	-5.744295e-01	-4.246000e+00	-2.330269e+00	-1.516187e+00	-6.792714e-02	3.710540e-01	2.684014e+00	-2.091421e+00	1.989525e-01	3.089477e-01	-1.322887e+00	3.863719e-01	-1.471195e+00	-2.534749e+00	1.777288e+00	2.551373e+00	-1.209971e+00	-9.171902e-01	1.875818e+00	1.025576e+00	2.180432e+00	-2.144726e+00
6	6	6	5	1.662746e+01	-6.249482e+00	-7.593755e+00	-5.939201e-01	-2.419556e+00	2.854186e+00	1.189547e+00	-5.321007e-01	6.024629e-01	-2.763145e-01	2.123521e+00	-3.193284e+00	-1.337305e+00	2.144015e+00	-1.888241e-01	-1.094808e+00	-1.402191e+00	-2.947822e-01	-4.058171e+00	2.098406e+00	-1.589054e-01	-2.256262e+00	-2.645011e-01	-1.314995e+00	-9.519937e-01	3.372830e-01	-1.264463e+00	-1.421409e+00	-9.315694e-01	-4.195341e-01	-1.176465e+00	-5.689879e-02	4.075292e-01	3.876555e-01	-1.612504e+00	1.442087e+00	1.098833e+00	1.350650e+00	6.258294e-01	-1.714610e+00	1.056917e+00	6.069291e-01	-1.611977e+00	2.116707e+00	-1.095097e-01	-2.536471e+00	1.049207e+00	-1.578809e+00
7	6	6	5	-8.895411e+00	-1.183235e-01	-7.457791e+00	-2.583589e-01	-2.580213e-01	-1.261463e+00	-5.865407e-01	-2.819769e+00	-5.785205e-01	-2.983341e-01	7.168260e-01	2.104593e-01	-1.720041e+00	-8.903464e-02	-1.955214e-01	-1.150990e+00	2.948325e-01	2.601925e-01	-9.433834e-01	4.082875e-01	-3.914409e-01	-1.636130e+00	4.499440e-01	-8.833923e-01	-8.897870e-01	1.601384e+00	3.838112e-01	-1.774327e-01	1.584759e+00	3.921969e-01	-7.047440e-02	-1.847966e+00	-1.442028e-01	2.347729e-03	1.130641e-01	7.932627e-01	1.276993e+00	-1.275056e+00	-7.784830e-01	-8.874804e-01	-1.022573e-01	6.458693e-01	-8.703719e-01	4.415915e-01	6.534600e-01	3.100470e-01	2.988654e-01	-2.962112e-02
8	7	7	6	1.875277e+01	-1.779897e+01	-1.075721e+00	-2.158616e-01	-3.015684e-01	-6.174099e-01	-5.557021e-02	2.231714e-01	-8.348759e-02	-3.139787e-01	3.728238e-01	-4.901909e-01	1.851974e-01	9.724575e-03	7.128872e-02	-2.683924e-02	-1.151853e-01	5.862988e-02	-1.346608e-01	1.688622e-01	-7.792926e-02	2.951026e-02	-1.762379e-01	-9.584365e-02	-9.540462e-02	1.397915e-01	-3.386054e-01	-1.665636e-01	-1.016248e-01	-5.415087e-02	-5.050801e-02	1.390979e-01	5.355906e-02	-6.517146e-02	-2.573755e-01	-8.564997e-03	1.045329e-01	1.223583e-01	-1.870051e-02	-4.293847e-02	6.756061e-02	1.163780e-01	-1.522020e-01	1.058130e-01	5.592790e-03	-1.029484e-01	6.156945e-02	-9.158496e-02
9	7	7	6	1.936049e+01	7.595671e+00	-3.858191e-01	-2.583346e-02	-2.365356e-01	4.538031e-01	1.371848e-01	5.693857e-03	-2.325997e-02	1.446565e-01	-1.945473e-01	2.449772e-02	-1.208341e-01	7.727959e-02	-1.522525e-02	-2.939043e-02	3.639257e-02	2.952781e-02	-7.126625e-02	1.476458e-01	-2.137719e-02	4.035057e-03	2.270452e-02	-4.185371e-02	7.229902e-04	9.642234e-03	4.874642e-02	2.707892e-02	8.875526e-03	4.080399e-02	9.668288e-03	-5.040425e-02	4.610736e-02	6.441235e-03	1.294782e-02	4.185899e-02	-3.703343e-03	1.818428e-02	-1.489698e-02	-7.094995e-02	8.011945e-03	-8.950907e-03	-1.206562e-02	5.928158e-02	-2.752247e-02	-9.573967e-02	2.743307e-02	-2.816843e-02
10	7	7	7	-1.259709e+01	1.604975e-02	1.673296e-01	4.158287e-02	1.193643e-01	-3.738178e-02	-3.370473e-02	-8.869713e-02	3.446243e-02	-1.114362e-02	6.455691e-02	2.603414e-02	-2.743364e-02	5.432196e-03	-1.354441e-02	-1.527064e-02	-1.900524e-02	-2.918269e-02	-3.257246e-02	-5.583716e-02	1.867327e-02	-7.134471e-02	2.498966e-02	2.957820e-03	-9.466148e-03	-9.832795e-03	2.508665e-02	-9.355986e-03	1.396615e-02	-1.237148e-02	-1.905482e-02	-2.552092e-02	-2.551708e-02	1.846631e-02	1.497850e-02	2.025859e-02	1.598611e-02	-1.896099e-02	1.564484e-02	-2.733855e-03	3.090996e-03	-6.705417e-04	-5.230238e-03	-1.122937e-03	1.609377e-02	1.653978e-02	-7.071863e-04	-9.068089e-04
