Stage	Stage_5	Stage_6
Actb	-0.003398	-0.009148
Ahcy	0.005614	-0.005933
Aqp3	-0.009252	0.009000
Atp12a	-0.022996	-0.006624
Bmp4	0.012001	0.015988
Cdx2	-0.013398	-0.007143
Creb3l2	0.013917	-0.026460
Cebpa	-0.007373	-0.007058
Dab2	-0.022794	-0.023886
Dppa1	-0.031795	-0.006577
Eomes	-0.007784	-0.013455
Esrrb	0.018008	0.006187
Fgf4	0.015026	0.020639
Fgfr2	-0.011716	-0.029011
Fn1	0.021681	0.002063
Gapdh	-0.000600	-0.008063
Gata3	-0.017098	-0.010995
Gata4	0.014119	-0.035003
Gata6	0.003714	-0.032051
Grhl1	-0.011295	-0.004324
Grhl2	-0.006615	-0.004704
Hand1	0.003614	-0.004582
Hnf4a	0.014207	-0.011290
Id2	-0.034494	-0.012520
Klf2	0.016012	0.014170
Klf4	0.007860	-0.000388
Klf5	-0.005445	-0.011727
Krt8	-0.014575	-0.012782
Lcp1	-0.010487	-0.001591
Mbnl3	-0.015923	-0.010952
Msc	-0.000769	0.003216
Msx2	-0.010048	-0.018577
Nanog	0.009022	0.013871
Pdgfa	-0.007414	-0.000702
Pdgfra	0.029889	-0.032704
Pecam1	0.026509	0.006788
Pou5f1	0.003821	-0.005215
Runx1	-0.013451	-0.033540
Sox2	0.024396	0.014266
Sall4	0.000601	-0.009319
Sox17	0.003417	-0.014643
Snai1	0.019225	-0.019722
Sox13	-0.010808	-0.002756
Tcfap2a	-0.019579	-0.011738
Tcfap2c	-0.001459	-0.006857
Tcf23	0.013920	-0.019022
Utf1	0.017081	-0.000793
Tspan8	-0.025401	-0.004085
